exp_id,model,parameter_name,value,assumed_or_estimated,rationale
EXP-02b,ardl,coefs.video_stc_lag1,-1.744135054792455,estimated,Model fit on observed data
EXP-02b,ardl,coefs.video_stc_lag2,-6.709842702786759,estimated,Model fit on observed data
EXP-02b,ardl,coefs.video_stc_lag3,7.3902238720524664,estimated,Model fit on observed data
EXP-02b,ardl,coefs.video_stc_lag4,-11.456285606442634,estimated,Model fit on observed data
EXP-02b,ardl,coefs.video_stc_lag5,-8.325229115350012,estimated,Model fit on observed data
EXP-02b,ardl,coefs.video_stc_lag6,-7.441623610659341,estimated,Model fit on observed data
EXP-02b,ardl,coefs.video_ltc_almon0,-3.6619075997041386,estimated,Model fit on observed data
EXP-02b,ardl,coefs.video_ltc_almon1,-0.21888018178335855,estimated,Model fit on observed data
EXP-02b,ardl,coefs.video_ltc_almon2,0.0024939269497714633,estimated,Model fit on observed data
EXP-02b,ardl,coefs.promo,10.469956154084134,estimated,Model fit on observed data
EXP-02b,ardl,coefs.covid_index,-2.299314783903031,estimated,Model fit on observed data
EXP-02b,ardl,coefs.dgs30,0.20887533688025428,estimated,Model fit on observed data
EXP-02b,ardl,coefs.mobility_index,1.5554059115393102,estimated,Model fit on observed data
EXP-02b,ardl,coefs.competitor_ishare,0.8748206016800033,estimated,Model fit on observed data
EXP-02b,ardl,coefs.intercept,9.532733148274094,estimated,Model fit on observed data
EXP-02c,finite_dl,model,finite_dl,estimated,Model fit on observed data
EXP-02c,finite_dl,lag_shape,weibull,estimated,Model fit on observed data
EXP-02c,finite_dl,max_lag,13,estimated,Model fit on observed data
EXP-02c,finite_dl,stc_cutoff,6,estimated,Model fit on observed data
EXP-02c,finite_dl,channel_weights.tv,"[0.14487310094396605, 0.14487310094396605, 0.05844288925092568, 0.04457944449291417, 0.037439742334936105, 0.03289247168373405, 0.02967065184213641, 0.027234348372976402, 0.025308864711303527, 0.023737617282501556, 0.022423921750571816, 0.02130441340339833, 0.020335599603578714, 0.019486503835098402, 0.018734383170914776, 0.018062116689027224, 0.017456531616308283, 0.016907310524316918, 0.016406237270179057, 0.015946680398244772, 0.015523217564370018, 0.015131371421379288, 0.014767400750504865, 0.014428158469534628, 0.014110972902423703, 0.013813557641122081, 0.013533946122707557, 0.013270433960339969, 0.01302153823569947, 0.012785957760652469, 0.01256254981578779, 0.012350303981269854, 0.012148321783057808, 0.01195580554678745, 0.011772039013218018, 0.01159638152286623, 0.011428253477591388, 0.011267135371367717, 0.011112553251869462, 0.010964078720470886, 0.010821320209197342, 0.010683921526883767, 0.010551556528422558, 0.010423925237852938, 0.010300753848360948, 0.010181788422299661, 0.01006679634503067, 0.009955560509558125, 0.009847882708825553, 0.009743576851122225, 0.00964247186776615, 0.00954440638235193, 0.00944923307227524]",estimated,Model fit on observed data
EXP-02c,finite_dl,channel_weights.search,"[0.9999999999999983, 0.9999999999999983, 1.6653345369377348e-15, 0.0, 0.0, 0.0, 0.0]",estimated,Model fit on observed data
EXP-02c,finite_dl,channel_weights.social,"[0.5501744052057348, 0.5501744052057348, 0.07458410044917341, 0.048230664287246955, 0.03646104720341903, 0.029635849572241055, 0.025130592343045214, 0.021912864880269566, 0.01948882772606292, 0.017590856030436423, 0.016060651625291945, 0.014798284181802861, 0.01373740505584219, 0.012832149480182095, 0.012049748843588198, 0.011366137871521997, 0.010763226032228866, 0.010227139212704522, 0.009747050497610895, 0.009314381280873616, 0.008922242315064692, 0.008565034370305095, 0.008238157582260907, 0.007937796362265595, 0.007660757830376577, 0.007404348800568575, 0.007166280959881988]",estimated,Model fit on observed data
EXP-02c,finite_dl,channel_weights.display,"[0.9999999999879878, 0.9999999999879878, 3.350583103940582e-12, 1.960083212243901e-12, 1.3908511610895564e-12, 1.0785726708234583e-12, 8.815105414204425e-13, 7.450423822884074e-13, 6.454575094082738e-13, 5.692320511543442e-13, 5.095162543655516e-13, 4.606898087558917e-13, 4.206450979681131e-13]",estimated,Model fit on observed data
EXP-02c,finite_dl,channel_weights.video,"[0.1494250179430251, 0.1494250179430251, 0.05914420768429756, 0.04492526988612155, 0.03762890974722697, 0.03299296272463688, 0.029714251970767724, 0.027238546555948692, 0.02528432065937732, 0.023691305966581252, 0.022360650478708326, 0.021227631271320276, 0.020247861199457883, 0.019389750180247554, 0.01863012288143925, 0.017951541279554842, 0.017340599728094794, 0.016786800596745255, 0.01628179128672915, 0.015818831696125402, 0.015392415277044928, 0.014997993534123965, 0.01463177159811549, 0.014290555504593563, 0.013971634792566436, 0.013672692805588534, 0.01339173577211969, 0.013127037369435955, 0.012877094293920414, 0.012640590630239723, 0.01241636871863768, 0.012203405743059064, 0.01200079398806685, 0.011807724888918597, 0.011623475444594517, 0.011447396869411293, 0.011278905327764313, 0.011117473539431053, 0.010962624094905239, 0.01081392348583481, 0.01067097706820393, 0.010533424740618812, 0.010400937120057022, 0.010273212246171773, 0.010149972689785307, 0.010030963189937256, 0.009915948197658581, 0.009804710197032265, 0.009697047870796623, 0.009592774483588931, 0.00949171676265253, 0.009393713467629265, 0.009298614551089808]",estimated,Model fit on observed data
EXP-02c,finite_dl,channel_coefs.tv,61.67013872764214,estimated,Model fit on observed data
EXP-02c,finite_dl,channel_coefs.search,2.9744620403014537,estimated,Model fit on observed data
EXP-02c,finite_dl,channel_coefs.social,88.35634848562152,estimated,Model fit on observed data
EXP-02c,finite_dl,channel_coefs.display,1.729397500980446,estimated,Model fit on observed data
EXP-02c,finite_dl,channel_coefs.video,-82.75596342770284,estimated,Model fit on observed data
EXP-02c,finite_dl,intercept,9.416793983090098,estimated,Model fit on observed data
EXP-03a,kalman_dlm,model,kalman_dlm,estimated,Model fit on observed data
EXP-03a,kalman_dlm,media_coefs.tv,-12.637863208881894,estimated,Model fit on observed data
EXP-03a,kalman_dlm,media_coefs.search,122.38917063078497,estimated,Model fit on observed data
EXP-03a,kalman_dlm,media_coefs.social,54.83189278967594,estimated,Model fit on observed data
EXP-03a,kalman_dlm,media_coefs.display,55.14954027974829,estimated,Model fit on observed data
EXP-03a,kalman_dlm,media_coefs.video,34.94017472085148,estimated,Model fit on observed data
EXP-03a,kalman_dlm,decays.tv,0.55,assumed,Selected decay parameter
EXP-03a,kalman_dlm,decays.search,0.2,assumed,Selected decay parameter
EXP-03a,kalman_dlm,decays.social,0.45,assumed,Selected decay parameter
EXP-03a,kalman_dlm,decays.display,0.5,assumed,Selected decay parameter
EXP-03a,kalman_dlm,decays.video,0.6,assumed,Selected decay parameter
EXP-03b,mcmc_stock,model,mcmc_stock,estimated,Model fit on observed data
EXP-03b,mcmc_stock,backend,mcmc,estimated,Model fit on observed data
EXP-03b,mcmc_stock,channel_params.tv,"{'stc_coef': 6.783998653716288, 'delta': 0.8997634900526598, 'build_rate': 0.23425775562990891, 'ltc_coef': 0.13148769402955238}",assumed,Selected decay parameter
EXP-03b,mcmc_stock,channel_params.search,"{'stc_coef': 23.010182487402155, 'delta': 0.2995302884856643, 'build_rate': 0.42974389917741634, 'ltc_coef': 0.23669188237651378}",assumed,Selected decay parameter
EXP-03b,mcmc_stock,channel_params.social,"{'stc_coef': 56.2055582605417, 'delta': 0.830695921538945, 'build_rate': 0.36067742426282745, 'ltc_coef': 0.20885972145154896}",assumed,Selected decay parameter
EXP-03b,mcmc_stock,channel_params.display,"{'stc_coef': 0.0, 'delta': 0.6442049127297538, 'build_rate': 0.46992952471144717, 'ltc_coef': 0.2575426285145979}",assumed,Selected decay parameter
EXP-03b,mcmc_stock,channel_params.video,"{'stc_coef': 0.0, 'delta': 0.8765862830119839, 'build_rate': 0.2538217856671622, 'ltc_coef': 0.1340707629198883}",assumed,Selected decay parameter
EXP-03b,mcmc_stock,intercept,7.245354706883107,estimated,Model fit on observed data
EXP-03b,mcmc_stock,exog_coefs,"[9.927720723262922, -3.53352463709446, 0.2964324487555263, -0.4304349664542265, 2.376047140064655]",estimated,Model fit on observed data
EXP-03b,mcmc_stock,exog_names,"['promo', 'covid_index', 'dgs30', 'mobility_index', 'competitor_ishare']",estimated,Model fit on observed data
EXP-03c,bsts,model,bsts,estimated,Model fit on observed data
EXP-03c,bsts,media_coefs.tv,13.49613743433747,estimated,Model fit on observed data
EXP-03c,bsts,media_coefs.search,24.12235090226037,estimated,Model fit on observed data
EXP-03c,bsts,media_coefs.social,52.57213779515381,estimated,Model fit on observed data
EXP-03c,bsts,media_coefs.display,-7.260830042945641,estimated,Model fit on observed data
EXP-03c,bsts,media_coefs.video,-14.046212083279038,estimated,Model fit on observed data
EXP-03c,bsts,decays.tv,0.55,assumed,Selected decay parameter
EXP-03c,bsts,decays.search,0.2,assumed,Selected decay parameter
EXP-03c,bsts,decays.social,0.45,assumed,Selected decay parameter
EXP-03c,bsts,decays.display,0.5,assumed,Selected decay parameter
EXP-03c,bsts,decays.video,0.6,assumed,Selected decay parameter
EXP-03a,kalman_dlm,model,kalman_dlm,estimated,Model fit on observed data
EXP-03a,kalman_dlm,media_coefs.tv,6.783998653716288,estimated,Model fit on observed data
EXP-03a,kalman_dlm,media_coefs.search,23.010182487402155,estimated,Model fit on observed data
EXP-03a,kalman_dlm,media_coefs.social,56.2055582605417,estimated,Model fit on observed data
EXP-03a,kalman_dlm,media_coefs.display,-7.759109026829485,estimated,Model fit on observed data
EXP-03a,kalman_dlm,media_coefs.video,-2.8908812230914087,estimated,Model fit on observed data
EXP-03a,kalman_dlm,decays.tv,0.55,assumed,Selected decay parameter
EXP-03a,kalman_dlm,decays.search,0.2,assumed,Selected decay parameter
EXP-03a,kalman_dlm,decays.social,0.45,assumed,Selected decay parameter
EXP-03a,kalman_dlm,decays.display,0.5,assumed,Selected decay parameter
EXP-03a,kalman_dlm,decays.video,0.6,assumed,Selected decay parameter
EXP-03b,mcmc_stock,model,mcmc_stock,estimated,Model fit on observed data
EXP-03b,mcmc_stock,backend,mcmc,estimated,Model fit on observed data
EXP-03b,mcmc_stock,channel_params.tv,"{'stc_coef': 6.783998653716288, 'delta': 0.8997634900526598, 'build_rate': 0.23425775562990891, 'ltc_coef': 0.13148769402955238}",assumed,Selected decay parameter
EXP-03b,mcmc_stock,channel_params.search,"{'stc_coef': 23.010182487402155, 'delta': 0.2995302884856643, 'build_rate': 0.42974389917741634, 'ltc_coef': 0.23669188237651378}",assumed,Selected decay parameter
EXP-03b,mcmc_stock,channel_params.social,"{'stc_coef': 56.2055582605417, 'delta': 0.830695921538945, 'build_rate': 0.36067742426282745, 'ltc_coef': 0.20885972145154896}",assumed,Selected decay parameter
EXP-03b,mcmc_stock,channel_params.display,"{'stc_coef': 0.0, 'delta': 0.6442049127297538, 'build_rate': 0.46992952471144717, 'ltc_coef': 0.2575426285145979}",assumed,Selected decay parameter
EXP-03b,mcmc_stock,channel_params.video,"{'stc_coef': 0.0, 'delta': 0.8765862830119839, 'build_rate': 0.2538217856671622, 'ltc_coef': 0.1340707629198883}",assumed,Selected decay parameter
EXP-03b,mcmc_stock,intercept,7.245354706883107,estimated,Model fit on observed data
EXP-03b,mcmc_stock,exog_coefs,"[9.927720723262922, -3.53352463709446, 0.2964324487555263, -0.4304349664542265, 2.376047140064655]",estimated,Model fit on observed data
EXP-03b,mcmc_stock,exog_names,"['promo', 'covid_index', 'dgs30', 'mobility_index', 'competitor_ishare']",estimated,Model fit on observed data
EXP-03c,bsts,model,bsts,estimated,Model fit on observed data
EXP-03c,bsts,media_coefs.tv,13.49613743433747,estimated,Model fit on observed data
EXP-03c,bsts,media_coefs.search,24.12235090226037,estimated,Model fit on observed data
EXP-03c,bsts,media_coefs.social,52.57213779515381,estimated,Model fit on observed data
EXP-03c,bsts,media_coefs.display,-7.260830042945641,estimated,Model fit on observed data
EXP-03c,bsts,media_coefs.video,-14.046212083279038,estimated,Model fit on observed data
EXP-03c,bsts,decays.tv,0.55,assumed,Selected decay parameter
EXP-03c,bsts,decays.search,0.2,assumed,Selected decay parameter
EXP-03c,bsts,decays.social,0.45,assumed,Selected decay parameter
EXP-03c,bsts,decays.display,0.5,assumed,Selected decay parameter
EXP-03c,bsts,decays.video,0.6,assumed,Selected decay parameter
EXP-03a,kalman_dlm,model,kalman_dlm,estimated,Model fit on observed data
EXP-03a,kalman_dlm,media_coefs.tv,6.783998653716288,estimated,Model fit on observed data
EXP-03a,kalman_dlm,media_coefs.search,23.010182487402155,estimated,Model fit on observed data
EXP-03a,kalman_dlm,media_coefs.social,56.2055582605417,estimated,Model fit on observed data
EXP-03a,kalman_dlm,media_coefs.display,-7.759109026829485,estimated,Model fit on observed data
EXP-03a,kalman_dlm,media_coefs.video,-2.8908812230914087,estimated,Model fit on observed data
EXP-03a,kalman_dlm,decays.tv,0.55,assumed,Selected decay parameter
EXP-03a,kalman_dlm,decays.search,0.2,assumed,Selected decay parameter
EXP-03a,kalman_dlm,decays.social,0.45,assumed,Selected decay parameter
EXP-03a,kalman_dlm,decays.display,0.5,assumed,Selected decay parameter
EXP-03a,kalman_dlm,decays.video,0.6,assumed,Selected decay parameter
EXP-03b,mcmc_stock,model,mcmc_stock,estimated,Model fit on observed data
EXP-03b,mcmc_stock,backend,mcmc,estimated,Model fit on observed data
EXP-03b,mcmc_stock,channel_params.tv,"{'stc_coef': 6.783998653716288, 'delta': 0.8997634900526598, 'build_rate': 0.23425775562990891, 'ltc_coef': 0.13148769402955238}",assumed,Selected decay parameter
EXP-03b,mcmc_stock,channel_params.search,"{'stc_coef': 23.010182487402155, 'delta': 0.2995302884856643, 'build_rate': 0.42974389917741634, 'ltc_coef': 0.23669188237651378}",assumed,Selected decay parameter
EXP-03b,mcmc_stock,channel_params.social,"{'stc_coef': 56.2055582605417, 'delta': 0.830695921538945, 'build_rate': 0.36067742426282745, 'ltc_coef': 0.20885972145154896}",assumed,Selected decay parameter
EXP-03b,mcmc_stock,channel_params.display,"{'stc_coef': 0.0, 'delta': 0.6442049127297538, 'build_rate': 0.46992952471144717, 'ltc_coef': 0.2575426285145979}",assumed,Selected decay parameter
EXP-03b,mcmc_stock,channel_params.video,"{'stc_coef': 0.0, 'delta': 0.8765862830119839, 'build_rate': 0.2538217856671622, 'ltc_coef': 0.1340707629198883}",assumed,Selected decay parameter
EXP-03b,mcmc_stock,intercept,7.245354706883107,estimated,Model fit on observed data
EXP-03b,mcmc_stock,exog_coefs,"[9.927720723262922, -3.53352463709446, 0.2964324487555263, -0.4304349664542265, 2.376047140064655]",estimated,Model fit on observed data
EXP-03b,mcmc_stock,exog_names,"['promo', 'covid_index', 'dgs30', 'mobility_index', 'competitor_ishare']",estimated,Model fit on observed data
EXP-03c,bsts,model,bsts,estimated,Model fit on observed data
EXP-03c,bsts,media_coefs.tv,13.49613743433747,estimated,Model fit on observed data
EXP-03c,bsts,media_coefs.search,24.12235090226037,estimated,Model fit on observed data
EXP-03c,bsts,media_coefs.social,52.57213779515381,estimated,Model fit on observed data
EXP-03c,bsts,media_coefs.display,-7.260830042945641,estimated,Model fit on observed data
EXP-03c,bsts,media_coefs.video,-14.046212083279038,estimated,Model fit on observed data
EXP-03c,bsts,decays.tv,0.55,assumed,Selected decay parameter
EXP-03c,bsts,decays.search,0.2,assumed,Selected decay parameter
EXP-03c,bsts,decays.social,0.45,assumed,Selected decay parameter
EXP-03c,bsts,decays.display,0.5,assumed,Selected decay parameter
EXP-03c,bsts,decays.video,0.6,assumed,Selected decay parameter
